Code,Name,y15,y14,y10,y05,t1yr,t5yr,t10yr
1001,"Autauga County, AL",-0.146524951,-0.164109601,-0.255287163,-0.158022095,-0.1289403,-0.037762738,-0.135027806
1003,"Baldwin County, AL",1.142859881,1.186456436,0.990412221,0.899011748,1.099263325,1.29530754,1.386708013
1005,"Barbour County, AL",-0.541684408,-0.573610029,-0.550879139,-0.46990587,-0.509758787,-0.532489677,-0.613462947
1007,"Bibb County, AL",-0.959337236,-1.130976151,-1.033480742,-1.294203471,-0.787698321,-0.88519373,-0.624471001
1009,"Blount County, AL",-0.215052762,-0.379003007,-0.314714544,-0.529467731,-0.051102517,-0.11539098,0.099362207
1011,"Bullock County, AL",-1.294809801,-1.177916056,-1.479262043,-1.908645606,-1.411703546,-1.110357559,-0.680973995
1013,"Butler County, AL",-0.517051348,-0.65671869,-0.544069046,-0.841885608,-0.377384005,-0.490033649,-0.192217087
1015,"Calhoun County, AL",0.617053625,0.592517407,0.646943297,0.720983409,0.641589843,0.587163952,0.513123841
1017,"Chambers County, AL",-0.444811206,-0.712955223,-0.533834595,-0.471904212,-0.176667189,-0.355787816,-0.417718199
1019,"Cherokee County, AL",-0.869381576,-0.793094197,-1.017332642,-0.806468288,-0.945668955,-0.72143051,-0.932294864
1021,"Chilton County, AL",-0.469394334,-0.599216702,-0.653521407,-0.509841932,-0.339571966,-0.285267261,-0.428946736
1023,"Choctaw County, AL",-0.96240298,-1.103096424,-0.805807063,-2.195726131,-0.821709535,-1.118998896,0.270920172
1025,"Clarke County, AL",-0.471730693,-0.299833878,-0.493210302,-0.460301286,-0.643627508,-0.450251084,-0.4831601
1027,"Clay County, AL",-1.076497203,-1.161804189,-1.126994612,-1.15673837,-0.991190216,-1.025999793,-0.996256036
1029,"Cleburne County, AL",-1.319325939,-1.332874585,-1.216995335,-1.476218638,-1.305777293,-1.421656544,-1.16243324
1031,"Coffee County, AL",-0.103376745,-0.103164813,-0.123956632,-0.214243066,-0.103588676,-0.082796857,0.007489577
1033,"Colbert County, AL",0.238139103,0.24449409,0.205017956,0.08062348,0.231784116,0.27126025,0.395654726
1035,"Conecuh County, AL",-1.217965122,-1.204752395,-0.996365384,-1.155760426,-1.231177849,-1.43956486,-1.280169818
1037,"Coosa County, AL",-1.589322126,-1.933863155,-1.874274361,-2.195726131,-1.244781096,-1.30436989,-0.98291812
1039,"Covington County, AL",-0.010041659,-0.142779576,-0.127165109,-0.039940278,0.122696259,0.107081792,0.019856961
1041,"Crenshaw County, AL",-1.331820697,-1.321521744,-1.327664959,-1.205824688,-1.342119651,-1.335976436,-1.457816706
1043,"Cullman County, AL",0.38662045,0.302416865,0.165951471,0.228386589,0.470824035,0.607289429,0.544854312
1045,"Dale County, AL",0.018691861,-0.076082099,-0.111756616,-0.314655512,0.113465821,0.149140338,0.352039234
1047,"Dallas County, AL",-0.253639981,-0.324815568,-0.258723309,-0.205365149,-0.182464393,-0.248556652,-0.301914813
1049,"DeKalb County, AL",0.196274916,0.252154801,0.270889521,0.092716351,0.140395031,0.121660312,0.299833481
1051,"Elmore County, AL",-0.02952876,-0.130847474,0.003866208,-0.107184899,0.071789954,-0.062923728,0.048127379
1053,"Escambia County, AL",-0.53638196,-0.809260021,-0.589971346,-0.563738972,-0.263503898,-0.482792573,-0.509024947
1055,"Etowah County, AL",0.690688897,0.491832647,0.398916938,0.700000234,0.889545148,0.982460856,0.68137756
1057,"Fayette County, AL",-0.913664758,-1.096276855,-0.953256664,-0.924397959,-0.731052661,-0.874072851,-0.902931556
1059,"Franklin County, AL",-0.634231268,-0.60593512,-0.638614737,-0.599420907,-0.662527416,-0.629847798,-0.669041628
1061,"Geneva County, AL",-0.810759994,-0.651984841,-0.642045175,-0.728372909,-0.969535148,-0.979474814,-0.89314708
1063,"Greene County, AL",-2.04414387,-1.065866115,-2.515389993,-2.195726131,-3.022421625,-1.572897746,-1.892561608
1065,"Hale County, AL",-1.195692464,-1.146515776,-1.504743017,-2.195726131,-1.244869152,-0.88664191,-0.195658796
1067,"Henry County, AL",-1.075368226,-1.075976397,-1.168795485,-2.195726131,-1.074760054,-0.981940966,0.04498968
1069,"Houston County, AL",0.9157198,0.859196304,0.921872925,0.97387652,0.972243296,0.909566676,0.857563081
1071,"Jackson County, AL",-2.04414387,-0.159695224,-2.515389993,-0.191425184,-3.928592516,-1.572897746,-3.896862556
1073,"Jefferson County, AL",2.012049886,2.055475861,2.255029304,2.248115583,1.96862391,1.769070467,1.775984189
1075,"Lamar County, AL",-1.029431037,-0.936814909,-1.281307565,-1.29439861,-1.122047164,-0.777554509,-0.764463463
1077,"Lauderdale County, AL",0.516872516,0.471287304,0.451095629,0.323048405,0.562457729,0.582649403,0.710696628
1079,"Lawrence County, AL",-2.04414387,-2.580739822,-2.515389993,-2.195726131,-1.507547917,-1.572897746,-1.892561608
1081,"Lee County, AL",0.784430063,0.81142184,0.689434082,0.641018078,0.757438286,0.879426045,0.927842048
1083,"Limestone County, AL",0.107964167,0.23961094,0.059467405,-0.027432771,-0.023682607,0.156460929,0.243361105
1085,"Lowndes County, AL",-2.04414387,-2.580739822,-1.812182655,-2.195726131,-1.507547917,-2.276105084,-1.892561608
1087,"Macon County, AL",-2.04414387,-2.580739822,-2.515389993,-2.195726131,-1.507547917,-1.572897746,-1.892561608
1089,"Madison County, AL",1.796659493,1.796143319,1.782027122,1.733033012,1.797175668,1.811291865,1.860285974
1091,"Marengo County, AL",-0.643073269,-0.671476573,-0.562632246,-0.578491447,-0.614669964,-0.723514291,-0.70765509
1093,"Marion County, AL",-0.535961683,-0.64511962,-0.76500813,-0.585111133,-0.426803746,-0.306915236,-0.486812233
1095,"Marshall County, AL",0.357950823,0.322410623,0.353396529,0.472113757,0.393491023,0.362505117,0.243787889
1097,"Mobile County, AL",1.562866158,1.613546402,1.504836961,1.749567422,1.512185914,1.620895354,1.376164893
1099,"Monroe County, AL",-0.78837584,-0.80138163,-0.883276138,-0.719653932,-0.77537005,-0.693475542,-0.857097748
1101,"Montgomery County, AL",1.419188097,1.451631432,1.518630464,1.489587558,1.386744763,1.319745731,1.348788637
1103,"Morgan County, AL",0.789304211,0.805323585,0.716052138,0.704363223,0.773284837,0.862556284,0.874245199
1105,"Perry County, AL",-2.04414387,-1.042866947,-1.134532143,-2.195726131,-3.045420792,-2.953755596,-1.892561608
1107,"Pickens County, AL",-0.966013492,-1.27100448,-1.059193828,-0.699610388,-0.661022504,-0.872833156,-1.232416596
1109,"Pike County, AL",-0.387396798,-0.577513245,-0.44489499,-0.54825299,-0.19728035,-0.329898605,-0.226540606
1111,"Randolph County, AL",-0.854203371,-0.597135362,-1.059211516,-2.195726131,-1.111271381,-0.649195226,0.487319389
1113,"Russell County, AL",-2.04414387,-0.374739443,-0.246318102,-0.349943615,-3.713548296,-3.841969637,-3.738344124
1115,"St. Clair County, AL",0.201538562,0.017997795,-0.060870458,-0.053295785,0.385079328,0.463947581,0.456372908
1117,"Shelby County, AL",1.435897986,1.374782237,1.414716878,1.344579247,1.497013735,1.457079094,1.527216724
1119,"Sumter County, AL",-1.10385819,-1.391929848,-1.323141327,-1.030763541,-0.815786531,-0.884575052,-1.176952839
1121,"Talladega County, AL",0.103141148,0.125319837,0.194136949,0.054215799,0.080962459,0.012145347,0.152066498
1123,"Tallapoosa County, AL",-0.518415853,-0.430691987,-0.391325826,-0.291234177,-0.60613972,-0.645505881,-0.74559753
1125,"Tuscaloosa County, AL",0.863754488,0.844693782,0.94422446,0.681681599,0.882815194,0.783284515,1.045827377
1127,"Walker County, AL",0.071327892,0.062473418,-0.063927688,-0.171623888,0.080182366,0.206583472,0.314279671
1129,"Washington County, AL",-0.786355231,-1.212199109,-0.973087423,-1.181232585,-0.360511354,-0.59962304,-0.391477878
1131,"Wilcox County, AL",-1.173887982,-1.435042176,-1.178028506,-1.421501908,-0.912733787,-1.169747458,-0.926274055
1133,"Winston County, AL",-0.616416453,-0.470226036,-0.183242332,-0.528092011,-0.76260687,-1.049590575,-0.704740895
2013,"Aleutians East Borough, AK",-2.04414387,-0.874386167,-0.573896558,-2.195726131,-3.213901572,-3.514391181,-1.892561608
2016,"Aleutians West Census Area, AK",0.574614323,0.685979791,0.085914945,0.500069538,0.463248855,1.063313702,0.649159109
2020,"Anchorage Municipality, AK",1.742316856,1.836448339,1.955117679,1.38666974,1.648185373,1.529516032,2.097963971
2050,"Bethel Census Area, AK",0.039757773,0.071893297,0.352336573,0.591561599,0.007622249,-0.272821027,-0.512046052
2060,"Bristol Bay Borough, AK",0.387543779,0.668196691,-0.152265584,1.47790137,0.106890867,0.927353142,-0.702813812
2068,"Denali Borough, AK",0.317041223,-0.433271023,-0.310609909,-0.631892751,1.06735347,0.944692356,1.265975198
2070,"Dillingham Census Area, AK",0.099192736,-2.580739822,-0.680950112,-2.195726131,2.779125294,0.879335584,2.394111603
2090,"Fairbanks North Star Borough, AK",0.96207864,0.918390033,1.062802692,0.590409176,1.005767247,0.861354588,1.333748104
2100,"Haines Borough, AK",-0.198959272,-2.580739822,-2.515389993,-1.115719944,2.182821278,2.11747145,0.717801401
2105,"Hoonah-Angoon Census Area, AK",-0.16169741,-0.583706104,-2.515389993,-2.195726131,0.260311285,2.191995174,1.872331312
2110,"Juneau City and Borough, AK",0.755470803,0.727036349,0.628722258,0.367030469,0.783905257,0.882219347,1.143911136
2122,"Kenai Peninsula Borough, AK",0.718265649,0.776178042,0.568601265,0.430440067,0.660353255,0.867930032,1.00609123
2130,"Ketchikan Gateway Borough, AK",0.503534729,-0.235189733,-0.226469277,0.245383938,1.242259191,1.233538735,0.76168552
2150,"Kodiak Island Borough, AK",0.312487584,0.187304419,0.03960073,-0.046379379,0.437670748,0.585374438,0.671354546
2164,"Lake and Peninsula Borough, AK",-0.24633378,0.150064912,0.42858413,0.056403314,-0.642732471,-0.921251689,-0.549070873
2170,"Matanuska-Susitna Borough, AK",0.685170907,0.633399817,0.625284819,0.157851642,0.736941996,0.745056994,1.212490171
2180,"Nome Census Area, AK",-0.247581507,-0.684828382,-0.776152384,-2.195726131,0.189665368,0.28098937,1.700563118
2185,"North Slope Borough, AK",-2.04414387,-2.580739822,-2.515389993,-2.195726131,-1.507547917,-1.572897746,-1.892561608
2188,"Northwest Arctic Borough, AK",-2.04414387,-2.580739822,-2.515389993,-2.195726131,-1.507547917,-1.572897746,-1.892561608
2195,"Petersburg Census Area, AK",-0.018161879,-0.478727129,-2.515389993,-2.195726131,0.442403372,2.479066236,2.159402374
2198,"Prince of Wales-Hyder Census Area, AK",-1.028136039,-2.580739822,-2.515389993,-2.195726131,0.524467744,0.459117915,0.139454054
2220,"Sitka City and Borough, AK",0.050760833,-0.14508061,0.177171309,-0.134934288,0.246602276,-0.075649643,0.236455954
2230,"Skagway Municipality, AK",0.415769881,-0.415084903,-2.515389993,-2.195726131,1.246624665,3.346929755,3.027265894
2240,"Southeast Fairbanks Census Area, AK",-0.467418257,-0.607259321,-0.598898873,-0.927579401,-0.327577192,-0.33593764,-0.007257112
2261,"Valdez-Cordova Census Area, AK",0.327272714,-0.026838682,-0.24225923,-0.113183878,0.681384111,0.896804659,0.767729307
2270,"Wade Hampton Census Area, AK",-0.342528522,0.111356874,-0.949300614,-2.195726131,-0.796413917,0.264243571,1.510669088
2275,"Wrangell City and Borough, AK",-0.543690501,-0.222568347,-2.515389993,-2.195726131,-0.864812654,1.428008992,1.10834513
2282,"Yakutat City and Borough, AK",-2.04414387,-2.580739822,-2.515389993,-2.195726131,-1.507547917,-1.572897746,-1.892561608
2290,"Yukon-Koyukuk Census Area, AK",-0.216270205,-1.28841751,-0.582585788,-0.202089788,0.855877101,0.150045379,-0.230450621
4001,"Apache County, AZ",-2.04414387,-0.547609764,-2.515389993,-0.343602503,-3.540677975,-1.572897746,-3.744685236
4003,"Cochise County, AZ",0.607333542,0.634409437,0.764251238,0.536010213,0.580257647,0.450415846,0.678656871
4005,"Coconino County, AZ",1.198675943,1.097420518,1.117889153,1.057208993,1.299931368,1.279462733,1.340142892
4007,"Gila County, AZ",0.125787737,0.162846529,-0.13358358,-0.030563508,0.088728945,0.385159054,0.282138982
4009,"Graham County, AZ",-2.04414387,-0.39906176,-0.399850687,-0.564591887,-3.689225979,-3.688437053,-3.523695852
4011,"Greenlee County, AZ",-2.04414387,-2.580739822,-1.190124718,-2.195726131,-1.507547917,-2.898163021,-1.892561608
4012,"La Paz County, AZ",-0.548785187,-0.610769521,-0.44379256,-0.862430558,-0.486800854,-0.653777814,-0.235139816
4013,"Maricopa County, AZ",2.735239043,2.883407217,2.963032675,2.642625181,2.58707087,2.507445411,2.827852906
4015,"Mohave County, AZ",0.946503756,0.943575667,0.849650625,0.946835507,0.949431845,1.043356887,0.946172005
4017,"Navajo County, AZ",0.368888746,0.323459943,0.335870786,0.154397255,0.414317548,0.401906705,0.583380236
4019,"Pima County, AZ",1.98852513,1.973712933,2.123186649,1.944932526,2.003337326,1.85386361,2.032117733
